experiment_name,repetition,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j,base_algo,optimize_method
matrix_chain_order_object_experiment,1,5665.349,7.375,2945.177,63.446,matrix_chain_order,object
matrix_chain_order_object_experiment,2,5615.964,6.757,2920.825,62.751,matrix_chain_order,object
matrix_chain_order_object_experiment,3,5631.394,6.704,2909.778,65.999,matrix_chain_order,object
matrix_chain_order_object_experiment,4,5613.072,6.707,2893.873,65.122,matrix_chain_order,object
matrix_chain_order_object_experiment,5,5623.146,6.59,2891.908,62.471,matrix_chain_order,object
matrix_chain_order_object_experiment,6,5590.973,6.446,2896.782,61.983,matrix_chain_order,object
matrix_chain_order_object_experiment,7,5726.124,6.468,2901.15,65.937,matrix_chain_order,object
matrix_chain_order_object_experiment,8,5661.627,6.708,2903.325,65.795,matrix_chain_order,object
matrix_chain_order_object_experiment,9,5730.736,6.831,2889.862,61.586,matrix_chain_order,object
matrix_chain_order_object_experiment,10,5660.358,6.86,2903.327,65.668,matrix_chain_order,object
dijkstra_multi_experiment,1,9163.479,7.44,2837.0,88.807,dijkstra,multi
dijkstra_multi_experiment,2,9063.395,7.177,2831.25,85.778,dijkstra,multi
dijkstra_multi_experiment,3,8982.477,6.894,2822.33,84.558,dijkstra,multi
dijkstra_multi_experiment,4,9245.033,7.267,2828.263,85.928,dijkstra,multi
dijkstra_multi_experiment,5,9003.237,7.126,2832.147,85.382,dijkstra,multi
dijkstra_multi_experiment,6,9055.317,7.08,2836.073,85.048,dijkstra,multi
dijkstra_multi_experiment,7,9267.208,7.306,2833.578,85.942,dijkstra,multi
dijkstra_multi_experiment,8,9034.102,7.229,2823.983,86.38,dijkstra,multi
dijkstra_multi_experiment,9,8857.472,7.195,2827.699,85.42,dijkstra,multi
dijkstra_multi_experiment,10,9344.748,8.12,2822.384,91.715,dijkstra,multi
longest_common_subsequence_function_experiment,1,2503.887,7.872,3167.789,31.488,longest_common_subsequence,function
longest_common_subsequence_function_experiment,2,2445.019,6.776,3169.857,29.906,longest_common_subsequence,function
longest_common_subsequence_function_experiment,3,2474.266,6.833,3150.64,30.105,longest_common_subsequence,function
longest_common_subsequence_function_experiment,4,2445.855,6.962,3184.5,30.711,longest_common_subsequence,function
longest_common_subsequence_function_experiment,5,2452.273,6.804,3161.711,31.252,longest_common_subsequence,function
longest_common_subsequence_function_experiment,6,2443.718,6.809,3173.527,30.288,longest_common_subsequence,function
longest_common_subsequence_function_experiment,7,2473.358,7.139,3155.277,29.987,longest_common_subsequence,function
longest_common_subsequence_function_experiment,8,2473.63,6.807,3232.683,29.821,longest_common_subsequence,function
