__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.07,4.503,3072.396,4.217
run_1_repetition_0,DONE,2,1000,0.07,4.504,2900.392,3.792
run_2_repetition_0,DONE,3,1000,0.071,4.274,2830.111,3.958
run_3_repetition_0,DONE,4,1000,0.075,4.219,2815.142,3.904
run_4_repetition_0,DONE,5,1000,0.071,3.905,2800.85,3.991
run_5_repetition_0,DONE,6,1000,0.07,3.897,2800.13,3.659
run_6_repetition_0,DONE,7,1000,0.074,5.713,2798.831,3.787
run_7_repetition_0,DONE,8,1000,0.07,4.542,2789.017,3.87
run_8_repetition_0,DONE,9,1000,0.072,3.691,2787.191,3.897
run_9_repetition_0,DONE,10,1000,0.07,4.404,2776.967,3.628
