__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,5.547,6.222,2792.393,58.458
run_1_repetition_0,DONE,2,1000,5.551,6.018,2782.72,59.302
run_2_repetition_0,DONE,3,1000,5.562,6.051,2787.499,63.027
run_3_repetition_0,DONE,4,1000,5.553,6.049,2793.655,63.823
run_4_repetition_0,DONE,5,1000,5.63,5.997,2791.835,64.771
run_5_repetition_0,DONE,6,1000,5.554,6.174,2779.302,65.129
run_6_repetition_0,DONE,7,1000,5.623,5.844,2783.261,65.519
run_7_repetition_0,DONE,8,1000,5.674,6.601,2797.048,69.833
run_8_repetition_0,DONE,9,1000,5.545,5.922,2788.503,65.534
run_9_repetition_0,DONE,10,1000,5.579,5.173,2778.465,65.713
