__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,1.616,6.001,3270.868,44.584
run_1_repetition_0,DONE,2,1000,1.655,5.563,3203.575,41.724
run_2_repetition_0,DONE,3,1000,1.621,5.183,3173.443,40.32
run_3_repetition_0,DONE,4,1000,1.608,5.416,3238.887,40.568
run_4_repetition_0,DONE,5,1000,1.608,5.594,3309.749,40.136
run_5_repetition_0,DONE,6,1000,1.603,5.15,3365.234,41.14
run_6_repetition_0,DONE,7,1000,1.608,5.558,3332.201,41.683
run_7_repetition_0,DONE,8,1000,1.602,5.163,3345.759,39.962
run_8_repetition_0,DONE,9,1000,1.603,5.404,3357.648,40.219
run_9_repetition_0,DONE,10,1000,1.617,5.586,3332.521,40.033
