__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,1.573,5.482,3173.298,24.629
run_1_repetition_0,DONE,2,1000,1.588,5.456,3092.397,20.291
run_2_repetition_0,DONE,3,1000,1.553,5.617,3049.397,20.034
run_3_repetition_0,DONE,4,1000,1.549,5.641,3017.737,19.635
run_4_repetition_0,DONE,5,1000,1.695,5.035,2987.872,21.069
run_5_repetition_0,DONE,6,1000,1.56,5.166,2974.25,20.37
run_6_repetition_0,DONE,7,1000,1.563,5.296,2952.558,19.946
run_7_repetition_0,DONE,8,1000,1.546,5.119,2945.796,19.311
run_8_repetition_0,DONE,9,1000,1.596,5.423,2947.73,20.263
run_9_repetition_0,DONE,10,1000,1.551,5.389,2947.425,20.521
