__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,8.679,6.699,2793.789,84.802
run_1_repetition_0,DONE,2,1000,8.95,6.518,2789.858,83.702
run_2_repetition_0,DONE,3,1000,8.972,6.661,2796.158,85.766
run_3_repetition_0,DONE,4,1000,8.855,6.811,2801.71,87.151
run_4_repetition_0,DONE,5,1000,8.944,6.603,2805.414,85.223
run_5_repetition_0,DONE,6,1000,8.679,6.652,2808.311,85.952
run_6_repetition_0,DONE,7,1000,8.804,6.589,2799.548,85.19
run_7_repetition_0,DONE,8,1000,8.949,6.918,2803.277,88.17
run_8_repetition_0,DONE,9,1000,8.7,6.607,2778.171,87.437
run_9_repetition_0,DONE,10,1000,8.666,6.452,2772.763,84.7
