__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,7.544,6.535,2791.433,88.48
run_1_repetition_0,DONE,2,1000,7.612,6.203,2794.12,85.192
run_2_repetition_0,DONE,3,1000,7.673,6.421,2795.571,83.864
run_3_repetition_0,DONE,4,1000,7.597,6.899,2783.468,84.62
run_4_repetition_0,DONE,5,1000,7.57,6.186,2780.493,79.356
run_5_repetition_0,DONE,6,1000,7.626,6.593,2784.549,83.686
run_6_repetition_0,DONE,7,1000,7.573,6.594,2787.507,82.221
run_7_repetition_0,DONE,8,1000,7.575,6.183,2782.169,90.248
run_8_repetition_0,DONE,9,1000,7.615,6.226,2766.334,78.455
run_9_repetition_0,DONE,10,1000,7.582,6.517,2784.265,80.67
