__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.19,10.656,3150.279,14.116
run_1_repetition_0,DONE,2,1000,0.189,10.143,3060.678,12.879
run_2_repetition_0,DONE,3,1000,0.19,10.395,3068.789,12.186
run_3_repetition_0,DONE,4,1000,0.192,10.39,3139.754,12.721
run_4_repetition_0,DONE,5,1000,0.19,9.736,3164.876,11.911
run_5_repetition_0,DONE,6,1000,0.189,10.76,3180.885,12.997
run_6_repetition_0,DONE,7,1000,0.192,10.398,3066.078,12.529
run_7_repetition_0,DONE,8,1000,0.192,11.106,3075.486,13.775
run_8_repetition_0,DONE,9,1000,0.19,10.232,3144.462,11.99
run_9_repetition_0,DONE,10,1000,0.189,10.506,3203.475,12.934
