__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,TODO,1,1000, , , , 
run_1_repetition_0,TODO,2,1000, , , , 
run_2_repetition_0,TODO,3,1000, , , , 
run_3_repetition_0,TODO,4,1000, , , , 
run_4_repetition_0,TODO,5,1000, , , , 
run_5_repetition_0,TODO,6,1000, , , , 
run_6_repetition_0,TODO,7,1000, , , , 
run_7_repetition_0,TODO,8,1000, , , , 
run_8_repetition_0,TODO,9,1000, , , , 
run_9_repetition_0,TODO,10,1000, , , , 
