__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.091,9.101,3101.448,11.018
run_1_repetition_0,DONE,2,1000,0.089,8.555,3105.283,9.029
run_2_repetition_0,DONE,3,1000,0.089,9.826,3119.337,9.593
run_3_repetition_0,DONE,4,1000,0.089,8.852,3110.922,8.728
run_4_repetition_0,DONE,5,1000,0.089,8.966,3116.368,8.887
run_5_repetition_0,DONE,6,1000,0.09,8.756,3096.503,9.052
run_6_repetition_0,DONE,7,1000,0.09,8.601,3109.836,8.796
run_7_repetition_0,DONE,8,1000,0.09,8.686,3105.711,8.767
run_8_repetition_0,DONE,9,1000,0.09,8.3,3112.372,8.563
run_9_repetition_0,DONE,10,1000,0.089,8.08,3093.806,8.928
