__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,2.394,7.909,3192.86,61.12
run_1_repetition_0,DONE,2,1000,2.402,6.056,3177.219,58.241
run_2_repetition_0,DONE,3,1000,2.398,6.212,3180.776,57.811
run_3_repetition_0,DONE,4,1000,2.414,6.216,3239.469,58.782
run_4_repetition_0,DONE,5,1000,2.398,5.95,3146.068,58.532
run_5_repetition_0,DONE,6,1000,2.401,6.177,3232.852,57.97
run_6_repetition_0,DONE,7,1000,2.381,6.175,3302.532,62.976
run_7_repetition_0,DONE,8,1000,2.402,6.052,3304.982,65.839
run_8_repetition_0,DONE,9,1000,2.388,6.117,3222.663,57.753
run_9_repetition_0,DONE,10,1000,2.379,6.03,3221.515,66.05
