__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,10.718,6.454,3079.042,255.703
run_1_repetition_0,DONE,2,1000,10.666,6.407,3066.696,251.213
run_2_repetition_0,DONE,3,1000,10.923,6.111,3059.966,250.448
run_3_repetition_0,DONE,4,1000,10.895,6.291,3063.097,252.228
run_4_repetition_0,DONE,5,1000,10.928,6.431,3070.451,256.434
run_5_repetition_0,DONE,6,1000,10.814,6.444,3062.217,250.239
run_6_repetition_0,DONE,7,1000,10.739,6.293,3059.734,250.678
run_7_repetition_0,DONE,8,1000,11.04,6.493,3059.139,245.098
run_8_repetition_0,DONE,9,1000,10.886,6.492,3072.958,218.778
run_9_repetition_0,DONE,10,1000,10.88,6.626,3065.119,247.087
