__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,23.689,7.622,3052.878,306.794
run_1_repetition_0,DONE,2,1000,23.586,7.118,3073.898,299.498
run_2_repetition_0,DONE,3,1000,23.643,6.394,3060.94,277.545
run_3_repetition_0,DONE,4,1000,23.569,6.585,3061.506,293.519
run_4_repetition_0,DONE,5,1000,23.515,6.041,3064.639,273.159
run_5_repetition_0,DONE,6,1000,23.522,6.336,3063.095,269.635
run_6_repetition_0,DONE,7,1000,23.71,6.466,3067.906,267.917
run_7_repetition_0,DONE,8,1000,23.725,6.337,3068.92,267.197
run_8_repetition_0,DONE,9,1000,23.537,6.362,3067.696,271.786
run_9_repetition_0,DONE,10,1000,23.506,6.345,3070.139,275.457
