__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,2.276,5.751,3068.686,32.081
run_1_repetition_0,DONE,2,1000,2.278,5.39,3086.804,28.899
run_2_repetition_0,DONE,3,1000,2.297,5.208,3085.775,29.04
run_3_repetition_0,DONE,4,1000,2.297,5.205,3073.245,28.796
run_4_repetition_0,DONE,5,1000,2.281,4.89,3059.684,28.345
run_5_repetition_0,DONE,6,1000,2.276,5.102,3072.752,28.604
run_6_repetition_0,DONE,7,1000,2.305,5.246,3061.409,29.297
run_7_repetition_0,DONE,8,1000,2.288,5.488,3056.72,29.136
run_8_repetition_0,DONE,9,1000,2.28,5.294,3075.285,29.998
run_9_repetition_0,DONE,10,1000,2.292,5.37,3063.279,29.164
