__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,70.52,4.995,2752.721,3.91
run_1_repetition_0,DONE,2,1000,70.639,4.291,2760.233,3.66
run_2_repetition_0,DONE,3,1000,69.582,4.811,2760.792,3.6
run_3_repetition_0,DONE,4,1000,72.728,4.753,2760.794,3.404
run_4_repetition_0,DONE,5,1000,70.618,6.315,2761.811,3.447
run_5_repetition_0,DONE,6,1000,70.608,4.67,2750.59,3.56
run_6_repetition_0,DONE,7,1000,70.507,5.086,2750.514,3.464
run_7_repetition_0,DONE,8,1000,71.784,4.893,2750.1,3.244
run_8_repetition_0,DONE,9,1000,71.467,4.667,2754.172,3.303
run_9_repetition_0,DONE,10,1000,70.77,4.533,2750.499,3.441
