__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.007,6.57,2880.322,17.964
run_1_repetition_0,DONE,2,1000,0.008,6.462,2857.168,18.089
run_2_repetition_0,DONE,3,1000,0.008,6.259,2830.115,18.059
run_3_repetition_0,DONE,4,1000,0.007,3.671,2806.939,17.886
run_4_repetition_0,DONE,5,1000,0.007,5.922,2793.257,17.963
run_5_repetition_0,DONE,6,1000,0.008,6.239,2776.097,18.27
run_6_repetition_0,DONE,7,1000,0.006,5.842,2777.043,17.696
run_7_repetition_0,DONE,8,1000,0.008,3.868,2792.323,17.869
run_8_repetition_0,DONE,9,1000,0.008,4.21,2788.277,18.6
run_9_repetition_0,DONE,10,1000,0.008,4.335,2777.931,18.259
