__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,1643.614,6.965,3023.215,19.053
run_1_repetition_0,DONE,2,1000,1663.407,6.26,3097.822,18.909
run_2_repetition_0,DONE,3,1000,1674.809,6.75,3158.745,18.947
run_3_repetition_0,DONE,4,1000,1643.564,3.688,3183.65,18.466
run_4_repetition_0,DONE,5,1000,1640.043,5.763,3234.11,20.428
run_5_repetition_0,DONE,6,1000,1658.925,6.307,3170.791,18.704
run_6_repetition_0,DONE,7,1000,1667.601,5.693,3043.409,20.451
run_7_repetition_0,DONE,8,1000,1648.377,5.592,3066.995,18.317
run_8_repetition_0,DONE,9,1000,1635.395,6.395,3107.903,18.556
run_9_repetition_0,DONE,10,1000,1683.341,5.515,3022.562,18.84
