__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.014,11.009,2869.829,8.598
run_1_repetition_0,DONE,2,1000,0.012,10.049,2862.607,8.3
run_2_repetition_0,DONE,3,1000,0.012,9.72,2869.947,8.331
run_3_repetition_0,DONE,4,1000,0.013,10.781,2879.784,8.525
run_4_repetition_0,DONE,5,1000,0.012,10.491,2857.146,8.56
run_5_repetition_0,DONE,6,1000,0.012,9.843,2888.973,8.357
run_6_repetition_0,DONE,7,1000,0.012,10.689,2908.132,8.586
run_7_repetition_0,DONE,8,1000,0.012,10.033,2934.913,8.422
run_8_repetition_0,DONE,9,1000,0.012,12.452,2901.605,8.433
run_9_repetition_0,DONE,10,1000,0.012,9.817,2897.676,8.159
