__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.009,11.682,2905.077,10.2
run_1_repetition_0,DONE,2,1000,0.008,10.449,2893.551,9.6
run_2_repetition_0,DONE,3,1000,0.012,8.442,2905.682,9.434
run_3_repetition_0,DONE,4,1000,0.008,10.682,2854.116,9.173
run_4_repetition_0,DONE,5,1000,0.008,11.44,2836.359,9.609
run_5_repetition_0,DONE,6,1000,0.008,9.869,2831.319,9.178
run_6_repetition_0,DONE,7,1000,0.007,8.253,2853.763,9.477
run_7_repetition_0,DONE,8,1000,0.008,7.976,2869.336,9.221
run_8_repetition_0,DONE,9,1000,0.008,10.794,2864.68,9.671
run_9_repetition_0,DONE,10,1000,0.007,10.359,2843.365,9.305
