__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.017,10.792,2829.083,9.218
run_1_repetition_0,DONE,2,1000,0.017,10.167,2932.522,8.999
run_2_repetition_0,DONE,3,1000,0.018,10.539,2926.329,9.048
run_3_repetition_0,DONE,4,1000,0.017,10.128,2937.779,8.878
run_4_repetition_0,DONE,5,1000,0.018,11.716,2950.577,9.081
run_5_repetition_0,DONE,6,1000,0.017,10.282,2963.742,8.64
run_6_repetition_0,DONE,7,1000,0.016,10.17,3001.557,8.986
run_7_repetition_0,DONE,8,1000,0.017,7.18,2999.617,8.806
run_8_repetition_0,DONE,9,1000,0.018,10.235,3030.445,9.236
run_9_repetition_0,DONE,10,1000,0.017,10.124,3028.001,8.63
