__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,51.024,11.526,2854.116,11.999
run_1_repetition_0,DONE,2,1000,51.195,7.5,2900.99,9.294
run_2_repetition_0,DONE,3,1000,51.254,14.607,2912.171,9.327
run_3_repetition_0,DONE,4,1000,51.072,10.171,2933.109,9.23
run_4_repetition_0,DONE,5,1000,51.134,10.855,2906.379,9.054
run_5_repetition_0,DONE,6,1000,50.922,10.009,2881.677,9.45
run_6_repetition_0,DONE,7,1000,51.222,10.92,2889.001,8.937
run_7_repetition_0,DONE,8,1000,51.186,10.218,2885.956,9.337
run_8_repetition_0,DONE,9,1000,51.245,10.291,2867.202,9.153
run_9_repetition_0,DONE,10,1000,51.257,7.807,2889.346,9.551
