__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,7285.883,6.728,2852.01,145.144
run_1_repetition_0,DONE,2,1000,7326.699,6.041,2816.596,146.787
run_2_repetition_0,DONE,3,1000,7216.13,6.569,2814.031,144.176
run_3_repetition_0,DONE,4,1000,7256.091,6.928,2809.869,148.464
run_4_repetition_0,DONE,5,1000,7207.663,6.211,2803.764,146.157
run_5_repetition_0,DONE,6,1000,7192.928,6.603,2795.192,146.533
run_6_repetition_0,DONE,7,1000,7191.491,6.22,2797.74,147.447
run_7_repetition_0,DONE,8,1000,7180.711,6.411,2798.96,143.931
run_8_repetition_0,DONE,9,1000,7253.135,6.953,2795.245,149.364
run_9_repetition_0,DONE,10,1000,7213.139,6.377,2793.803,144.817
