__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,1021.756,9.498,2834.938,19.109
run_1_repetition_0,DONE,2,1000,1023.375,9.369,2863.528,19.294
run_2_repetition_0,DONE,3,1000,1014.93,9.441,2902.059,18.834
run_3_repetition_0,DONE,4,1000,1021.389,9.514,2901.273,18.719
run_4_repetition_0,DONE,5,1000,1005.869,7.925,2899.604,18.739
run_5_repetition_0,DONE,6,1000,1025.779,11.27,2866.076,23.936
run_6_repetition_0,DONE,7,1000,1042.789,15.051,2898.036,19.183
run_7_repetition_0,DONE,8,1000,1026.782,9.553,2892.697,19.714
run_8_repetition_0,DONE,9,1000,1020.139,9.4,2903.196,19.679
run_9_repetition_0,DONE,10,1000,1015.866,9.392,2936.05,18.589
