__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,200,3711.368,7.374,2912.8,42.949
run_1_repetition_0,DONE,2,200,3673.743,7.622,2914.668,44.772
run_2_repetition_0,DONE,3,200,3668.28,6.801,2909.1,43.599
run_3_repetition_0,DONE,4,200,3670.386,6.761,2907.109,43.052
run_4_repetition_0,DONE,5,200,3726.928,6.892,2912.751,40.804
run_5_repetition_0,DONE,6,200,3691.936,6.846,2926.769,44.255
run_6_repetition_0,DONE,7,200,3666.204,6.321,2922.759,44.901
run_7_repetition_0,DONE,8,200,3684.909,7.151,2911.432,44.48
run_8_repetition_0,DONE,9,200,3697.904,6.847,2918.433,41.808
run_9_repetition_0,DONE,10,200,3704.014,6.912,2911.512,42.19
