__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.871,6.111,3110.439,11.771
run_1_repetition_0,DONE,2,1000,0.871,5.616,3106.797,10.015
run_2_repetition_0,DONE,3,1000,0.871,6.001,3094.746,10.336
run_3_repetition_0,DONE,4,1000,0.871,5.608,3090.339,10.091
run_4_repetition_0,DONE,5,1000,0.872,5.559,3099.805,10.003
run_5_repetition_0,DONE,6,1000,0.872,5.064,3092.396,9.849
run_6_repetition_0,DONE,7,1000,0.871,5.812,3090.997,10.402
run_7_repetition_0,DONE,8,1000,0.871,5.134,3087.732,10.077
run_8_repetition_0,DONE,9,1000,0.871,5.729,3085.046,10.125
run_9_repetition_0,DONE,10,1000,0.871,5.486,3085.009,9.845
