__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.869,7.127,2985.198,10.795
run_1_repetition_0,DONE,2,1000,0.877,5.803,3061.915,10.645
run_2_repetition_0,DONE,3,1000,0.853,5.459,3153.25,10.978
run_3_repetition_0,DONE,4,1000,0.868,5.835,3193.363,10.572
run_4_repetition_0,DONE,5,1000,0.858,5.499,3087.272,10.84
run_5_repetition_0,DONE,6,1000,0.856,5.157,3065.704,10.9
run_6_repetition_0,DONE,7,1000,0.866,5.363,3147.451,10.892
run_7_repetition_0,DONE,8,1000,0.876,5.256,3123.353,10.65
run_8_repetition_0,DONE,9,1000,0.87,5.261,3074.201,10.454
run_9_repetition_0,DONE,10,1000,0.864,5.637,3095.35,10.878
