__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,3.762,6.212,3083.034,91.168
run_1_repetition_0,DONE,2,1000,3.756,6.2,3088.241,87.615
run_2_repetition_0,DONE,3,1000,3.756,6.294,3079.316,88.923
run_3_repetition_0,DONE,4,1000,3.754,6.117,3094.503,86.919
run_4_repetition_0,DONE,5,1000,3.773,6.045,3082.647,87.29
run_5_repetition_0,DONE,6,1000,3.789,6.197,3083.03,87.46
run_6_repetition_0,DONE,7,1000,3.804,6.212,3084.083,87.235
run_7_repetition_0,DONE,8,1000,3.79,6.05,3081.208,87.136
run_8_repetition_0,DONE,9,1000,3.767,6.163,3078.698,88.494
run_9_repetition_0,DONE,10,1000,3.763,6.362,3080.694,88.484
