__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.086,9.137,2989.301,10.176
run_1_repetition_0,DONE,2,1000,0.085,8.875,2989.555,8.103
run_2_repetition_0,DONE,3,1000,0.086,8.621,2980.464,8.157
run_3_repetition_0,DONE,4,1000,0.085,8.923,2986.954,8.354
run_4_repetition_0,DONE,5,1000,0.085,9.085,2973.682,8.23
run_5_repetition_0,DONE,6,1000,0.085,8.998,2982.755,7.993
run_6_repetition_0,DONE,7,1000,0.085,8.597,2986.725,7.995
run_7_repetition_0,DONE,8,1000,0.085,8.178,2978.99,8.423
run_8_repetition_0,DONE,9,1000,0.085,8.596,2983.922,8.27
run_9_repetition_0,DONE,10,1000,0.085,8.725,2989.706,8.077
