__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,35.916,6.694,3062.508,725.234
run_1_repetition_0,DONE,2,1000,35.755,6.557,3049.597,719.43
run_2_repetition_0,DONE,3,1000,36.082,6.619,3052.066,719.817
run_3_repetition_0,DONE,4,1000,36.211,6.62,3045.729,734.358
run_4_repetition_0,DONE,5,1000,36.535,6.677,3054.039,753.062
run_5_repetition_0,DONE,6,1000,36.448,6.64,3050.963,725.202
run_6_repetition_0,DONE,7,1000,35.982,6.601,3048.423,724.106
run_7_repetition_0,DONE,8,1000,36.25,6.643,3060.414,732.758
run_8_repetition_0,DONE,9,1000,36.005,6.643,3067.642,722.407
run_9_repetition_0,DONE,10,1000,36.368,6.588,3063.308,738.575
