__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,0.968,8.902,3095.22,25.484
run_1_repetition_0,DONE,2,1000,0.983,8.647,3121.64,20.629
run_2_repetition_0,DONE,3,1000,0.985,8.604,3172.604,20.267
run_3_repetition_0,DONE,4,1000,0.987,8.718,3148.026,20.879
run_4_repetition_0,DONE,5,1000,0.975,8.368,3113.385,21.162
run_5_repetition_0,DONE,6,1000,0.979,8.912,3108.663,20.664
run_6_repetition_0,DONE,7,1000,0.982,8.466,3108.186,20.632
run_7_repetition_0,DONE,8,1000,0.976,8.66,3136.121,21.135
run_8_repetition_0,DONE,9,1000,0.981,8.217,3105.162,21.081
run_9_repetition_0,DONE,10,1000,0.972,9.283,3088.839,21.316
