__run_id,__done,repetition,sampling,execution_time_s,cpu_usage_percent,memory_usage_mb,cpu_energy_j
run_0_repetition_0,DONE,1,1000,3.673,6.355,3091.858,51.838
run_1_repetition_0,DONE,2,1000,3.691,6.075,3095.01,45.538
run_2_repetition_0,DONE,3,1000,3.662,5.834,3080.363,45.864
run_3_repetition_0,DONE,4,1000,3.694,6.0,3079.524,45.245
run_4_repetition_0,DONE,5,1000,3.674,6.036,3082.176,43.056
run_5_repetition_0,DONE,6,1000,3.678,6.343,3091.685,41.612
run_6_repetition_0,DONE,7,1000,3.666,5.711,3085.924,43.653
run_7_repetition_0,DONE,8,1000,3.666,6.174,3099.582,43.638
run_8_repetition_0,DONE,9,1000,3.66,4.688,3097.104,44.839
run_9_repetition_0,DONE,10,1000,3.664,7.242,3087.756,45.158
